Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,Unnamed: 7,street_name,zip_code
AMS-3210,16 Pieter Cornelisz Hooftstraat 1071 BL,52.36114,4.883471,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Pieter Cornelisz Hooftstraat,1071 BL
AMS-3302,1HS Balthasar Floriszstraat 1071 TZ,52.35317,4.88466,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Balthasar Floriszstraat,1071 TZ
AMS-3097,70 Erich Salomonstraat 1087 DB,52.3587,4.993431,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Erich Salomonstraat,1087 DB
AMS-3041,370 Eva Besnyöstraat 1087 LR,52.34798,5.0114,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Eva Besnyöstraat,1087 LR
AMS-3226,20I Alexander Boersstraat 1071 KX,52.35723,4.878326,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Alexander Boersstraat,1071 KX
AMS-3169,50HS Argonautenstraat 1076 KS,52.34361,4.861207,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Argonautenstraat,1076 KS
AMS-3527,51III Tweede Schinkelstraat 1075 TR,52.35337,4.854624,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Tweede Schinkelstraat,1075 TR
AMS-3219,2 Jan Luijkenstraat 1071 CM,52.36075,4.884419,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Jan Luijkenstraat,1071 CM
AMS-3232,352 Jacob Obrechtstraat 1071 KG,52.35579,4.875764,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Jacob Obrechtstraat,1071 KG
AMS-2786,2 Herschelstraat 1098 JA,52.35409,4.937848,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Herschelstraat,1098 JA
AMS-3201,263 Middenweg 1098 AR,52.34891,4.938992,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Middenweg,1098 AR
AMS-2901,11 Nienke van Hichtumstraat 1064 MH,52.37971,4.811488,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Nienke van Hichtumstraat,1064 MH
